Id,Name,CreateDate,Experience,Address,Salary,CompanyId
1,Программист-разработчик,01.10.2023,2,Санкт-Петербург,70000,1
2,Junior WinForms Developer (.Net),01.10.2023,2,Бишкек,100000,2
3,JavaScript Developer Trainee,01.10.2023,0,Санкт-Петербург,0,3
4,Программист,01.10.2023,0,Санкт-Петербург,40000,4
5,C# разработчик,01.10.2023,2,Уфа,0,5
6,Разработчик C#,01.10.2023,2,Санкт-Петербург,0,6
7,Backend разработчик C# (middle),01.10.2023,2,Санкт-Петербург,0,7
8,Программист Back end,01.10.2023,2,Санкт-Петербург,110000,8
9,Программист,01.10.2023,2,Санкт-Петербург,60000,9
10,Junior WinForms Developer (.Net),01.10.2023,2,Астана,100000,10
11,Программист C# (backend; webapi; services; .net core),01.10.2023,4,Санкт-Петербург,160000,11
12,C# SQL разработчик,01.10.2023,2,Санкт-Петербург,0,12
13,C# developer/.net,01.10.2023,2,Санкт-Петербург,0,13
14,Middle C# Developer,01.10.2023,2,Санкт-Петербург,160000,14
15,Разработчик в команду внедрения СЭД,01.10.2023,2,Санкт-Петербург,0,15
