id,vacancyName,experience,address,salary,companyId,createDate
1,Chief Design Engineer,5,593 Hudson Center,182763,1,2023-09-17 00:00:00
2,Environmental Tech,0,226 American Plaza,171922,2,2023-10-12 00:00:00
3,Geological Engineer,4,4 Bartillon Lane,158843,3,2023-09-06 00:00:00
4,Help Desk Operator,5,3 Butternut Place,114029,4,2023-09-30 00:00:00
5,Product Engineer,8,91 Haas Alley,172355,5,2023-10-11 00:00:00
6,Senior Cost Accountant,6,94 Hoffman Avenue,148142,6,2023-10-11 00:00:00
7,General Manager,4,358 Butternut Circle,134179,7,2023-09-13 00:00:00
8,VP Quality Control,3,1669 Eastlawn Street,175536,8,2023-10-13 00:00:00
9,Safety Technician IV,9,1 Sunfield Junction,135835,9,2023-10-20 00:00:00
10,Data Coordinator,1,324 Shoshone Alley,123878,10,2023-10-07 00:00:00
11,Associate Professor,1,4748 Roth Parkway,102373,11,2023-10-06 00:00:00
12,Environmental Tech,2,76 Lotheville Trail,193295,12,2023-09-08 00:00:00
13,Programmer IV,2,6868 Longview Parkway,137794,13,2023-09-17 00:00:00
14,Help Desk Operator,0,9053 Merchant Parkway,94977,14,2023-10-22 00:00:00
15,Software Engineer III,1,6 Crowley Hill,161323,15,2023-09-28 00:00:00
16,Assistant Media Planner,6,24 Eagle Crest Trail,195874,16,2023-10-09 00:00:00
17,Senior Sales Associate,5,4314 Armistice Road,188837,17,2023-09-20 00:00:00
18,Marketing Assistant,6,2990 Haas Park,148990,18,2023-10-16 00:00:00
19,Safety Technician III,7,554 Steensland Trail,176541,19,2023-10-06 00:00:00
20,Senior Quality Engineer,2,8740 Ridgeview Terrace,86539,20,2023-09-07 00:00:00
21,Assistant Media Planner,8,6066 Iowa Center,130064,21,2023-09-27 00:00:00
22,Structural Analysis Engineer,8,9442 Harper Way,120522,22,2023-10-07 00:00:00
23,Senior Quality Engineer,8,74 Superior Crossing,138689,23,2023-10-18 00:00:00
24,Recruiting Manager,0,762 Briar Crest Court,163574,24,2023-09-28 00:00:00
25,Nuclear Power Engineer,5,8065 Anthes Hill,160108,25,2023-10-17 00:00:00
26,Accounting Assistant III,4,0 Steensland Park,83024,26,2023-10-22 00:00:00
27,Senior Financial Analyst,6,47 Kensington Avenue,198403,27,2023-09-17 00:00:00
28,Financial Analyst,3,99 Kinsman Hill,99751,28,2023-10-20 00:00:00
29,Clinical Specialist,10,5789 Tony Crossing,107560,29,2023-09-09 00:00:00
30,Operator,7,59 Old Gate Trail,92517,30,2023-10-18 00:00:00
31,Computer Systems Analyst IV,6,919 Kensington Plaza,131870,31,2023-10-14 00:00:00
32,Recruiting Manager,5,7967 Vahlen Center,166058,32,2023-10-22 00:00:00
33,Mechanical Systems Engineer,5,27 Carberry Way,91370,33,2023-09-09 00:00:00
34,Safety Technician III,3,97658 Buhler Road,177468,34,2023-09-26 00:00:00
35,Statistician I,8,24 Burrows Pass,102796,35,2023-10-04 00:00:00
36,Safety Technician III,3,6 Cody Parkway,105509,36,2023-09-29 00:00:00
37,Teacher,7,7206 Nancy Hill,167599,37,2023-10-07 00:00:00
38,Librarian,2,29625 Morningstar Pass,149539,38,2023-10-17 00:00:00
39,Pharmacist,6,72 Roth Point,92066,39,2023-09-02 00:00:00
40,Administrative Assistant I,10,1 Gina Park,112471,40,2023-09-14 00:00:00
41,Paralegal,5,1 8th Place,146583,41,2023-09-07 00:00:00
42,Help Desk Technician,0,63463 Westport Hill,182452,42,2023-10-03 00:00:00
43,Budget/Accounting Analyst II,5,78 Rigney Parkway,174727,43,2023-09-01 00:00:00
44,Speech Pathologist,10,28 Tennessee Place,84988,44,2023-10-10 00:00:00
45,Chemical Engineer,0,2 Everett Court,117873,45,2023-09-25 00:00:00
46,Human Resources Assistant III,2,50181 Randy Circle,151290,46,2023-09-13 00:00:00
47,Design Engineer,3,67 Dryden Center,139992,47,2023-09-11 00:00:00
48,Nurse,0,27 Autumn Leaf Circle,198834,48,2023-09-25 00:00:00
49,Information Systems Manager,6,13 Laurel Lane,186818,49,2023-09-18 00:00:00
50,Business Systems Development Analyst,5,9 Raven Crossing,188789,50,2023-09-30 00:00:00
51,Financial Analyst,6,41273 Vermont Lane,188479,51,2023-10-24 00:00:00
52,Chief Design Engineer,0,48400 Northview Crossing,118179,52,2023-09-24 00:00:00
53,Recruiter,1,8640 Talmadge Trail,135606,53,2023-10-06 00:00:00
54,Research Assistant III,5,890 Ronald Regan Street,132882,54,2023-09-07 00:00:00
55,Account Coordinator,9,84 Eliot Crossing,105155,55,2023-09-04 00:00:00
56,Geological Engineer,2,87 Del Sol Center,141429,56,2023-10-23 00:00:00
57,Senior Cost Accountant,0,2031 Paget Hill,141096,57,2023-10-06 00:00:00
58,Administrative Officer,4,47 Dakota Crossing,93113,58,2023-10-22 00:00:00
59,Research Nurse,9,1 Golf Place,93138,59,2023-09-10 00:00:00
60,Senior Editor,0,00099 Hagan Plaza,100079,60,2023-09-07 00:00:00
61,Senior Financial Analyst,10,73995 Knutson Crossing,171884,61,2023-10-02 00:00:00
62,Nuclear Power Engineer,6,8 Corscot Avenue,130838,62,2023-09-29 00:00:00
63,Safety Technician IV,6,8884 Saint Paul Parkway,164485,63,2023-10-06 00:00:00
64,Sales Representative,5,61 Hintze Hill,141454,64,2023-10-08 00:00:00
65,Chief Design Engineer,0,82431 Kingsford Circle,161241,65,2023-09-11 00:00:00
66,Information Systems Manager,7,0 Village Hill,165783,66,2023-10-11 00:00:00
67,Cost Accountant,4,146 Eliot Park,146232,67,2023-09-09 00:00:00
68,Internal Auditor,2,0 Chinook Way,193039,68,2023-10-13 00:00:00
69,Marketing Assistant,7,98 Butternut Pass,85939,69,2023-10-09 00:00:00
70,Teacher,9,2 5th Street,100964,70,2023-09-10 00:00:00
71,Nurse Practicioner,4,37367 Brickson Park Plaza,125218,71,2023-10-20 00:00:00
72,Tax Accountant,1,81050 David Court,130217,72,2023-10-11 00:00:00
73,Nurse Practicioner,0,86 Logan Park,100172,73,2023-09-02 00:00:00
74,Account Executive,4,5896 Alpine Terrace,194762,74,2023-09-05 00:00:00
75,Human Resources Manager,6,52621 Cambridge Crossing,87545,75,2023-10-06 00:00:00
76,Sales Associate,2,3 Nobel Avenue,187328,76,2023-10-09 00:00:00
77,Assistant Media Planner,1,5 8th Pass,148296,77,2023-09-12 00:00:00
78,Assistant Manager,3,35 Londonderry Avenue,115851,78,2023-09-26 00:00:00
79,Media Manager II,5,70596 Monterey Trail,123471,79,2023-10-17 00:00:00
80,Nurse,6,41114 Fairfield Junction,125498,80,2023-10-21 00:00:00
81,Accounting Assistant IV,8,20608 2nd Pass,158877,81,2023-09-09 00:00:00
82,Pharmacist,9,48929 1st Park,128428,82,2023-10-24 00:00:00
83,Programmer II,5,87761 Logan Crossing,98683,83,2023-09-29 00:00:00
84,Senior Developer,9,73361 Westerfield Pass,112392,84,2023-09-27 00:00:00
85,Senior Cost Accountant,10,75022 Morningstar Avenue,100661,85,2023-10-12 00:00:00
86,Human Resources Manager,3,577 Holmberg Trail,159681,86,2023-09-04 00:00:00
87,Database Administrator IV,10,88310 Huxley Center,88636,87,2023-09-20 00:00:00
88,Editor,10,73 Steensland Alley,138624,88,2023-10-03 00:00:00
89,Safety Technician III,1,95826 Memorial Point,147855,89,2023-09-30 00:00:00
90,VP Quality Control,0,41957 Kings Drive,185011,90,2023-09-20 00:00:00
91,General Manager,10,08380 Gateway Lane,131373,91,2023-10-07 00:00:00
92,Physical Therapy Assistant,6,4 Eagan Trail,190364,92,2023-09-28 00:00:00
93,Senior Financial Analyst,10,9571 Shopko Alley,136938,93,2023-09-24 00:00:00
94,Human Resources Assistant III,1,3257 Thompson Road,153214,94,2023-10-24 00:00:00
95,Physical Therapy Assistant,2,8 South Trail,119692,95,2023-10-15 00:00:00
96,GIS Technical Architect,4,46 Fallview Street,121088,96,2023-09-24 00:00:00
97,VP Quality Control,2,595 Calypso Plaza,136977,97,2023-10-01 00:00:00
98,Analog Circuit Design manager,9,5314 Alpine Lane,162841,98,2023-10-06 00:00:00
99,Software Engineer III,5,84474 East Place,80228,99,2023-09-10 00:00:00
100,Financial Advisor,0,89148 Sauthoff Junction,187795,100,2023-10-04 00:00:00
101,Financial Advisor,2,4 Sutherland Plaza,179117,101,2023-10-08 00:00:00
102,Senior Cost Accountant,1,07136 Porter Road,112796,102,2023-09-24 00:00:00
103,Information Systems Manager,6,8 Twin Pines Pass,186363,103,2023-09-20 00:00:00
104,Legal Assistant,1,7 Debra Trail,172432,104,2023-10-15 00:00:00
105,Structural Engineer,1,39124 Service Alley,114041,105,2023-09-09 00:00:00
106,Executive Secretary,3,391 Little Fleur Street,157989,106,2023-09-27 00:00:00
107,Cost Accountant,9,843 Mcguire Way,102840,107,2023-10-12 00:00:00
108,VP Marketing,6,9 Morningstar Avenue,93103,108,2023-09-21 00:00:00
109,Electrical Engineer,8,6 Sunfield Circle,137373,109,2023-09-11 00:00:00
110,Senior Quality Engineer,5,6 Center Avenue,172604,110,2023-09-24 00:00:00
111,Senior Quality Engineer,3,1 Elka Drive,170195,111,2023-09-15 00:00:00
112,Quality Engineer,8,03 Muir Circle,126354,112,2023-10-09 00:00:00
113,Senior Sales Associate,5,5914 Tony Drive,146638,113,2023-10-13 00:00:00
114,Electrical Engineer,4,775 Anthes Trail,196961,114,2023-10-23 00:00:00
115,Payment Adjustment Coordinator,3,04 Graedel Park,174179,115,2023-09-19 00:00:00
116,VP Quality Control,3,58 Manufacturers Pass,111699,116,2023-09-06 00:00:00
117,Software Engineer IV,9,9 International Street,111916,117,2023-10-02 00:00:00
118,Legal Assistant,4,62336 Eastlawn Center,177231,118,2023-10-20 00:00:00
119,Graphic Designer,7,67 Northfield Plaza,131179,119,2023-10-15 00:00:00
120,Environmental Tech,3,50737 Northridge Lane,101146,120,2023-09-17 00:00:00
121,Executive Secretary,8,077 Oneill Plaza,117435,121,2023-09-07 00:00:00
122,Pharmacist,5,74324 Anderson Road,163314,122,2023-09-03 00:00:00
123,Associate Professor,2,98943 Ridgeway Road,185506,123,2023-10-12 00:00:00
124,Media Manager III,8,82840 Sunfield Court,176298,124,2023-10-14 00:00:00
125,Internal Auditor,9,33629 Lunder Plaza,168964,125,2023-10-12 00:00:00
126,Graphic Designer,9,50 Erie Drive,162301,126,2023-09-22 00:00:00
127,Graphic Designer,10,89027 Mifflin Circle,169673,127,2023-09-26 00:00:00
128,Developer III,5,949 Cody Street,109283,128,2023-09-30 00:00:00
129,Account Coordinator,8,5707 Porter Trail,166443,129,2023-09-20 00:00:00
